"","L1B.r1","L1B.r2","L1B_benomyl.r1","L1B_benomyl.r2","L4C.r1","L4C.r2","L4C_benomyl.r1","L4C_benomyl.r2","U10D.r1","U10D.r2","U10D_benomyl.r1","U10D_benomyl.r2","U3B.r1","U3B.r2","U3B_benomyl.r1","U3B_benomyl.r2","U3E.r1","U3E.r2","U3E_benomyl.r1","U3E_benomyl.r2","U5C.r1","U5C.r2","U5C_benomyl.r1","U5C_benomyl.r2"
"CLUG_05045T0",0,0,0,7.13585896054365,0,0,0,0,0,0,0,0,0,0,0.000371036077906441,0,0,8.07288453022172e-05,0.00286132705982418,0,0,0,0,0
"CLUG_05046T0",163,7,84,102,17,17,34,59,8,16,50,76,13,131,141,217,6,140,91,68,14,10,69,55
"CLUG_05047T0",2703,1606,86,96,5147,4817,63,91,3499,4175,135,77,2222,2291,101,100,2440,2107,58,106,2708,3138,49,55
"CLUG_05048T0",48243,52928,975,1936,76683,57212,2084,2738,33216,76796,1896,2612,24123,17750,346,479,35904,21051,11942,14669,17224,12966,5899,6140
"CLUG_05049T0",1220,39,40,80,51,30,4,3,25,32,5,11,11,331,4,36,18,468,289,13,15,16,3,9
"CLUG_05050T0",4872,5249,3036,3214,5518,3572,1085,636,3200,4541,2523,2359,1761,1924,1276,1593,2709,2924,3928,3559,4723,4169,1869,1566
"CLUG_05051T0",553,488,103,72,803,892,118,144,500,596,98,95,630,641,41,100,734,743,193,157,699,818,52,59
"CLUG_05052T0",7084,2788,266,512,19449,14748,443,442,7978,12243,842,485,18019,14302,179,270,13313,11314,1322,1178,11535,13019,227,146
"CLUG_05053T0",4083,5959,17249,20190,6188,4659,24207,17051,4397,5840,19387,21319,5668,5176,17230,15691,5202,5148,11468,12559,7563,7322,18652,18405
"CLUG_05054T0",1674,1221,913,1082,2536,2957,1621,1965,1640,2700,1980,3211,2990,3594,1685,1623,2958,2607,1925,2622,3426,3804,9466,12264
"CLUG_05055T0",645,337,318,417,1058,1278,941,956,720,833,427,396,424,538,166,189,545,484,1051,1191,902,837,397,442
"CLUG_05056T0",432,455,84,118,1332,1346,98,174,568,886,94,159,1155,909,152,152,1044,810,188,247,1034,1002,137,162
"CLUG_05057T0",727,255,765,987,649,791,779,1060,650,759,552,1047,963,932,1449,1872,855,931,866,847,673,630,1360,2413
"CLUG_05058T0",6107,3929,4990,6594,8552,9668,10515,14483,5583,8252,7401,15243,10552,10868,16518,12813,9020,8386,7371,9905,9066,10118,22313,28324
"CLUG_05059T0",1257,982,151,157,2320,2499,237,227,1171,1643,191,169,1633,1455,451,472,1755,1511,394,402,1727,1560,373,392
"CLUG_05060T0",1172,444,161,155,3268,2719,340,224,1085,1950,182,158,3043,2875,389,412,3046,2366,227,298,2630,2349,231,205
"CLUG_05061T0",881,762,477,552,1183,1272,1148,784,929,1022,577,706,1141,747,1313,992,1003,789,459,642,1022,1030,671,676
"CLUG_05062T0",299,314,506,571,390,425,776,796,270,296,432,538,323,242,1049,1182,304,297,324,311,348,275,731,620
"CLUG_05063T0",144,118.394667974561,38,35,385,378.424154708605,12,47,185,242.402356537647,27,37,255,253,41,52,270,237.464507720581,23,25,265.397323170184,277.444301827731,26,14.466484411149
"CLUG_05064T0",6,2,50,49,1,1,76,126,0,0,49,82,0,10,146,160,0,4,28,37,0,1,170,179
"CLUG_05065T0",440,379.605332025439,77,76,994,1021.57584529139,72,79,628,750.597643462353,83,62,817,574,107,145,866,556.535492279419,48,75,806.602676829816,676.555698172269,52,33.533515588851
"CLUG_05066T0",4197,2625,2201,2969,4046,5921,5013,3562,3321,3198,2519,2587,4723,3949,2638,2416,3156,2981,3910,3990,5251,4939,3650,2710
"CLUG_05067T0",418,315,172,257,939,1086,460,429,580,757,297,405,869,714,171,125,949,710,212,306,982,965,292,199
"CLUG_05068T0",1244,1697,326,293,1330,1218,808,726,1641,2027,531,732,1791,1050,523,684,1243,880,651,601,1415,1220,865,367
"CLUG_05069T0",800,1717,334,380,570,473,1279,980,1153,1243,532,772,264,272,534,501,448,330,2833,3030,347,432,1523,708
"CLUG_05070T0",26802,35452,3407,3945,16897,28707,7745,7293,53729,44885,5927,6344,23322,18155,2047,2451,29544,20668,19534,20989,24263,26594,8616,3994
"CLUG_05071T0",4745,7817,628,754,3992,6865,564,1552,12620,10668,1258,1272,4787,4476,382,599,6377,4483,3341,3726,5505,6657,1569,745
"CLUG_05072T0",51,41,36,51,42,57,35,35,49,69,34,44,53,37,31,54,37,51,74,64,41,44,45,24
"CLUG_05073T0",4337,3530,6181,7744,5527,5009,7984,5537,4917,7187,9547,11663,4133,3619,5220,5152,3526,3810,8954,9654,4047,3461,11389,10602
"CLUG_05074T0",376,265,49,45,517,541,45,65,436,684,86,87,413,385,46,80,365,432,40,65,384,347,51,44
"CLUG_05075T0",868,794,332,387,1359,1432,614,381,1386,1935,837,1055,1007,818,535,407,1096,868,574,672,1100,958,576,503
"CLUG_05076T0",769,735,286,342,1284,1364,352,330,1250,1854,735,1113,850,813,435,430,921,912,494,531,1023,965,553,515
"CLUG_05077T0",846,857,185,160,968,907,167,180,1428,1949,556,554,867,742,162,161,921,911,568,585,1663,1558,702,809
"CLUG_05078T0",85,2,22,48,6,5,15,18,7,12,21,28,7,68,15,56,6,84,91,26,7,17,72,56
"CLUG_05079T0",1482,1092,244,347,2240,2298,434,414,2201,3182,713,908,2453,2174,230,215,2000,1884,940,998,3622,3525,1633,1926
"CLUG_05080T0",1921,1852,540,602,4247,4171,689,684,4545,6264,1274,1339,3235,2684,435,477,2984,2574,249,328,5953,6507,329,388
"CLUG_05081T0",221,94,26,28,573,417,30,52,257,544,31,34,282,254,51,68,332,277,53,33,468,455,89,55
"CLUG_05082T0",954.688286484393,666.269884629461,100.098623325322,143.757796356891,1614.12934462304,1472.82973125676,101.015695596265,128.84066990109,1431.70531029993,2083.57706581104,175.546153956884,251.950932728919,1013.43731590997,995.122098656107,77.9365872820197,128.809112673613,1011.46844672533,1127.7878248225,70.5652364324612,91.5765852608245,2220.05022063055,2253.0842347282,127.387949716727,115.735938314463
"CLUG_05083T0",240.311713515607,209.730115370539,41.901376674678,41.2422036431087,526.870655376963,548.170268743244,33.9843044037348,28.1593300989099,515.294689700067,697.422934188963,54.4538460431157,100.049067271081,393.562684090032,321.877901343893,50.0634127179803,50.1908873263867,397.531553274667,294.212175177496,14.4347635675388,34.4234147391755,776.949779369446,774.915765271801,29.612050283273,33.2640616855372
"CLUG_05084T0",3,7,427,310,21,25,792,585,43,74,709,803,5,6,900,679,15,10,213,253,2,9,579,696
"CLUG_05085T0",554,401,193,205,1026,1295,287,349,903,1839,376,546,1180,1258,343,242,1165,1125,229,435,3041,3419,1249,1257
"CLUG_05086T0",919,787,113,123,1625,1435,180,124,1257,1855,245,231,1465,1407,72,121,1267,1175,270,309,2739,2455,385,329
"CLUG_05087T0",742,626,410,444,1031,1154,654,514,1193,1465,652,782,1009,883,515,592,852,965,279,283,1846,2230,398,435
"CLUG_05088T0",459,428,99,156,1043,722,269,261,605,1081,222,229,682,1045,215,202,680,819,118,108,995,1024,218,385
"CLUG_05089T0",357,295,37,65,766,640,89,84,555,911,118,128,546,488,108,132,511,464,40,54,1047,931,76,80
"CLUG_05090T0",62,37,32,20,130,126,42,86,94,279,164,114,59,49,95,96,74,48,8,25,63,51,96,101
"CLUG_05091T0",208,107,14,29,365,349,36,15,288,422,34,35,172,162,4,15,178,249,9,12,401,338,20,9
"CLUG_05092T0",117.333006335055,81.4565835945579,57.1195715351005,42.8721066062627,210.169958005588,293.184880096633,62.3927056255827,76.8762612080668,193.26590215918,353.420032203515,61.6367207662532,76.6534372585173,503.992484601104,548.62939973895,115.299294779184,164.585502198155,281.877882346693,382.109402352143,46.428196349315,68.8151001964217,660.51470925686,739.482071101311,99.5001433657457,156.281186561601
"CLUG_05093T0",73,34,8,13,47,74,8,10,39,65,9,13,53,113,20,16,57,95,21,8,102,149,9,21
"CLUG_05094T0",25.6669936649454,22.5434164054422,10.8804284648995,34.1278933937373,64.8300419944122,36.8151199033666,40.6072943744173,41.1237387919333,18.7340978408203,35.5799677964846,23.3632792337468,46.3465627414827,138.007515398896,515.37060026105,53.700705220816,78.4144978018454,99.1221176533072,210.890597647857,19.571803650685,21.1848998035783,210.48529074314,253.517928898689,39.4998566342543,49.7188134383995
"CLUG_05095T0",49,31,10,18,47,64,26,21,63,75,13,28,79,57,18,27,35,60,19,24,110,171,45,61
"CLUG_05096T0",2060,1798,130,194,4159,5167,118,332,4268,5701,398,383,2532,2546,258,383,3038,2235,623,770,6324,6230,913,803
"CLUG_05097T0",287,12,172,229,22,21,8,9,15,15,11,27,19,184,11,156,12,184,316,11,30,51,35,128
"CLUG_05098T0",2284,1344,974,1216,3042,3934,1461,1200,3645,4100,2731,3786,3501,2420,1391,911,2439,1876,2374,2752,4889,4455,4767,4140
"CLUG_05099T0",58,36,342,320,71,61,836,805,75,111,533,739,21,34,3295,2555,43,76,52,47,46,96,689,864
"CLUG_05100T0",3016,1497,2365,3118,3481,5702,8476,8483,9921,7052,5342,11098,9523,6691,7066,6166,8541,11531,6657,10377,22555,24018,12206,12696
"CLUG_05101T0",71,2,100,175,3,6,6,11,0,6,9,18,1,81,34,193,1,229,185,8,4,8,34,59
"CLUG_05102T0",4783,2755,4569,6505,7104,9927,10994,12410,14757,11341,14812,23485,10786,8135,5074,4516,7995,7053,10696,15321,18302,18993,14842,18236
"CLUG_05103T0",2556,1460,654,780,2739,3537,1376,1957,4101,4175,1755,2682,3836,3819,1676,1316,2814,2978,2273,3156,7213,7024,2737,4014
"CLUG_05104T0",1958,1552,731,916,3087,3526,1011,1051,3320,4990,2508,3459,4613,4344,616,519,3784,3180,2034,3231,9575,9391,11715,12846
"CLUG_05105T0",820,617,82,127,1922,2018,144,164,1529,2223,202,296,1192,1077,177,205,1440,1180,86,145,2282,2181,166,152
"CLUG_05106T0",178,125,74,86,521,538,122,130,309,612,150,228,734,918,36,169,531,450,107,190,1155,1066,187,229
"CLUG_05107T0",17,11,118,130,13,15,238,167,21,35,177,257,9,32,522,364,11,26,81,38,13,15,332,433
"CLUG_05108T0",125,74,58,75,170,194,77,52,144,253,154,193,289,305,21,33,233,252,236,300,342,300,188,231
"CLUG_05109T0",286,263,34,36,596,542,40,35,553,976,65,58,393,438,37,62,542,559,36,41,1015,950,19,25
"CLUG_05110T0",183,188,171,176,414,451,363,445,386,536,403,608,402,324,735,580,422,316,179,249,812,661,953,1128
"CLUG_05111T0",7,0,19,11,0,0,0,0,0,0,1,0,0,7,0,25,0,19,11,1,0,2,0,9
"CLUG_05112T0",2896,1849,1086,1396,4867,4972,2264,2442,4106,5786,3826,5360,5454,6086,970,1200,4376,4450,4668,4311,8870,8737,7765,9689
"CLUG_05113T0",348,415,139,261,898,765,263,256,677,1118,407,453,777,616,258,237,728,615,240,361,1311,1104,325,350
"CLUG_05114T0",4570,5492,1721,1980,5796,7419,2813,2867,11023,12169,4046,5508,8693,6886,2317,1941,7365,6007,3133,3815,12082,15083,5613,6550
"CLUG_05115T0",0,0,7,6,4,1,10,21,1,3,16,25,1,2,23,26,2,0,9,10,4,5,27,30
"CLUG_05116T0",30,34,27,23,54,43,30,121,59,102,53,120,29,39,156,135,34,22,30,77,127,157,151,255
"CLUG_05117T0",13,6,8,5,3,7,5,2,8,7,9,11,6,7,17,22,2,7,3,6,15,19,10,26
"CLUG_05118T0",409,303,61,66,809,878,45,179,821,1007,149,203,574,507,118,182,526,524,84,169,1004,1000,179,228
"CLUG_05119T0",629,512,99,112,970,900,134,134,652,1051,163,202,758,589,292,326,642,582,131,248,1536,1487,269,394
"CLUG_05120T0",6260,5582,423,549,8161,10590,1100,1008,10387,12084,1246,1116,10267,7351,538,425,8102,5806,739,1212,16747,16131,1801,1982
"CLUG_05121T0",1471,1084,166,213,2024,2091,310,307,1884,3173,341,486,2164,4661,636,640,1996,2804,479,999,3469,4871,2620,6818
"CLUG_05122T0",1132,1160,88,119,3304,2860,39,130,3117,4588,187,253,1710,1655,243,378,1827,1472,106,103,3241,3916,102,132
"CLUG_05123T0",1592,1677,242,286,3142,3027,286,332,3028,4721,427,578,1830,1520,559,751,2110,1843,279,307,3738,3422,302,443
"CLUG_05124T0",329,281,103,131,484,578,486,572,649,788,297,412,438,375,417,346,459,344,558,951,940,880,1329,1900
"CLUG_05125T0",1811,1194,479,529,2467,2627,521,611,3082,4055,1404,1796,2471,2951,461,681,2405,2875,2278,1824,4716,5281,3193,3956
"CLUG_05126T0",13,13,14,15,141,18,54,61,19,66,20,41,0,0,94,112,9,5,25,62,4,0,202,282
"CLUG_05127T0",1211,814,133,222,2314,2050,264,266,2166,3056,381,407,1612,1552,180,268,1720,1653,217,312,3204,3136,179,246
"CLUG_05128T0",8725,7987,947,859,6233,6656,387,244,10960,12308,2617,2102,6282,5824,293,526,7340,7659,5908,4485,17133,15817,3798,2261
"CLUG_05129T0",440,359,44,35,332,402,19,41,506,620,35,78,307,322,53,109,293,312,159,126,884,882,173,98
"CLUG_05130T0",4770,3033,45102,57689,6553,8488,84040,75626,14630,11115,94071,138272,9579,8018,77311,83821,7391,8100,31397,39882,12428,13928,70058,89899
"CLUG_05131T0",2648,2422,5737,6074,4655,4686,7804,7402,5526,6805,9413,13708,3106,2227,9613,10777,13357,20209,34036,38589,38880,31383,24475,24158
"CLUG_05132T0",1471,1039,96,124,1701,1843,239,197,2106,2799,243,313,1754,1788,78,79,1472,1377,586,585,3356,3582,404,377
"CLUG_05133T0",2900,2761,185,274,7069,6728,176,370,6657,9780,614,577,4798,4055,87,228,5316,3830,597,627,9394,8988,548,444
"CLUG_05134T0",1357,1026,89,193,2578,2073,192,171,1928,3290,291,286,2209,2465,91,105,1949,2090,353,467,3238,3481,352,428
"CLUG_05135T0",594,394,22,38,742,758,61,48,934,1125,48,50,402,338,31,40,528,488,15,34,771,722,31,28
"CLUG_05136T0",501,415,60,104,1568,944,133,141,794,1642,133,273,462,453,154,160,623,562,116,130,1308,1134,311,183
"CLUG_05137T0",2457,1999,343,431,2307,2615,389,389,3074,4108,743,904,3173,3159,139,224,2720,3251,689,610,7145,7303,456,334
"CLUG_05138T0",16057,6915,882,945,15446,18964,1526,1329,20952,22449,1487,2169,10478,8429,548,442,11957,11102,419,579,10224,12790,759,816
"CLUG_05139T0",14366,13476,3375,4236,25197,26891,4715,4404,20825,29616,7033,7824,6780,4732,507,622,8388,9574,3238,3302,13017,12252,2115,1902
"CLUG_05140T0",1373,751,114,122,2770,2537,153,103,2476,3431,329,310,493,298,193,263,928,723,264,197,1507,1438,290,244
"CLUG_05141T0",908,1258,181,242,2660,2312,259,334,2198,3958,476,568,2113,2608,89,148,2244,2077,885,1017,4872,5303,383,561
"CLUG_05142T0",1562,1503,241,333,3281,3073,258,267,2641,4187,479,617,2704,2387,154,215,2595,2145,1134,806,4960,4612,761,786
"CLUG_05143T0",7115,9009,3522,3910,8732,10883,4033,3852,12184,12619,10342,10157,7086,7297,531,751,9913,9242,7940,7066,24185,19860,5815,2898
"CLUG_05144T0",353,253,66,94,849,720,164,167,754,1191,142,167,744,800,87,86,504,419,29,62,1030,956,53,49
"CLUG_05145T0",420,392,44,44,810,770,31,54,805,1173,109,122,660,618,25,42,688,685,47,59,1326,1280,54,60
"CLUG_05146T0",26,18,2,6,12,17,1,7,22,25,5,11,18,20,6,6,13,39,9,4,20,30,7,8
"CLUG_05147T0",5896,3451,257,378,10084,9713,508,421,11001,14123,1060,765,6564,5439,198,102,7467,6008,743,815,10191,9825,234,198
"CLUG_05148T0",814,535,60,92,1236,1103,113,110,904,1496,132,154,1315,1258,43,46,1101,1185,125,122,2029,1774,57,56
"CLUG_05149T0",81,5,30,48,5,6,118,115,6,5,65,138,10,64,95,76,4,77,100,154,9,13,324,311
"CLUG_05150T0",519,523,30,52,871,841,76,50,857,1157,98,100,805,623,32,17,680,624,28,43,1574,1448,35,26
"CLUG_05151T0",2765,1871,331,505,4122,4155,534,492,5095,5846,972,1013,2724,2360,392,448,2846,2750,840,810,7607,7244,972,1037
"CLUG_05152T0",6988,5829,20886,23614,11081,10749,33890,18533,13591,15911,45739,38263,6680,4543,11458,6935,6315,4520,33240,49093,14075,12574,98681,97569
"CLUG_05153T0",362,206,152,231,780,847,119,161,658,1049,226,319,580,559,116,265,664,790,447,271,1204,1193,286,373
"CLUG_05154T0",428,288,333,398,692,815,324,993,692,1059,566,961,600,552,583,900,685,652,1454,1446,1237,1208,3011,3196
"CLUG_05155T0",6503,3766,1570,1834,2703,14837,2258,2019,29819,6276,2668,3298,1274,987,1609,1765,1771,1827,1582,1004,22911,16370,773,767
"CLUG_05156T0",2890,2333,1116,1409,3542,4013,4638,4140,5543,5881,2194,2868,2411,1692,2528,2393,2400,2134,5583,6221,4796,4470,10661,11645
"CLUG_05157T0",1278,1305,202,210,3614,4145,160,384,4207,5133,431,598,670,344,123,210,1513,1296,127,154,2500,2350,583,516
"CLUG_05158T0",7462,6146,801,974,12272,14995,1225,1502,17041,18748,1907,2018,6279,5330,924,976,6750,7682,901,1076,11567,13111,2782,3343
"CLUG_05159T0",174,130,2817,3644,286,286,5414,4017,298,467,5250,7886,667,823,7404,4193,430,370,2734,4726,920,950,15275,16672
"CLUG_05160T0",17,47,205,283,17,15,7,5,28,36,4,11,7,32,21,347,10,25,135,3,37,24,10,20
"CLUG_05161T0",2718,2063,756,914,4447,4459,1169,1306,4916,7021,2110,3132,6002,6940,1757,2207,4726,4811,2904,3368,12358,13581,9740,11127
"CLUG_05162T0",885,699,235,274,3683,2250,503,602,1464,2764,414,568,1278,1319,852,737,1343,932,294,389,2367,2059,781,744
"CLUG_05163T0",396,355,175,221,1294,1203,91,375,933,1554,270,397,751,626,489,786,829,552,174,195,1498,1247,522,549
"CLUG_05164T0",8175,8761,4959,6069,11518,13032,7277,6372,9525,13068,10354,12189,4805,3899,1886,2095,3988,5455,5033,4765,6854,8079,5666,6388
"CLUG_05165T0",878,546,143,154,3574,5923,430,436,4636,3889,666,947,927,804,157,333,906,615,109,172,3571,3539,540,512
"CLUG_05166T0",124,3,301,382,4,3,308,352,2,4,185,326,11,326,474,616,7,231,256,124,17,24,351,515
"CLUG_05167T0",6130,4069,2022,2687,7871,8013,4290,3432,7379,10842,6211,9988,18663,20487,2161,1702,13230,11914,6134,8261,32345,32611,18044,21852
"CLUG_05168T0",403,149,1775,2689,611,1124,3615,4512,1299,1083,1908,3308,693,426,2788,3184,595,618,5444,7270,1470,1516,5980,5891
"CLUG_05169T0",3394,2420,318,387,4880,5338,593,378,3347,3594,583,497,3777,3360,118,189,3610,3343,1536,1532,3535,3361,392,423
"CLUG_05170T0",874,668,237,359,1340,1406,483,381,723,974,477,666,1400,1318,160,149,1335,1278,902,835,1176,1078,830,776
"CLUG_05171T0",188,109,37,50,348,342,81,61,150,203,71,110,316,257,51,38,274,262,128,147,355,268,229,189
"CLUG_05172T0",571,340,37,74,1011,913,101,60,536,745,63,43,1075,926,38,50,932,790,72,95,879,807,54,54
"CLUG_05173T0",258,42,45,67,54,201,33,58,218,40,37,37,50,114,93,120,41,137,124,61,53,50,212,197
"CLUG_05174T0",886,2170,536,995,4239,1868,1047,1608,922,3250,1528,3584,4289,9061,2313,1100,4634,5511,2855,6461,4113,4604,5234,10563
"CLUG_05175T0",885,652,3026,3821,1528,1499,6164,4860,850,1155,3830,4730,1775,1645,3395,2310,1551,1366,3608,4691,1380,1382,7615,9117
"CLUG_05176T0",383.977584560094,293,61.4672473386271,86.93864281579,740.32806838946,683.199758882201,143.230286801636,138.211068692061,341,510.682665291934,130.201573776711,186.041402779643,733.077840053045,626.698674455315,65.1746130497406,73.9852700129501,652.016955836429,548.568235694553,491.351295812176,580.982066391082,657.012303063834,534.09723765926,355.171344941389,370.865773348649
"CLUG_05177T0",6.02241543990577,0,4.53275266137288,8.06135718420999,8.67193161053967,4.80024111779853,14.769713198364,20.7889313079386,0,2.317334708066,9.79842622328891,25.9585972203571,4.92215994695499,6.3013255446854,42.8253869502594,25.0147299870499,6.98304416357146,2.4317643054475,33.6487041878239,31.0179336089184,11.9876969361656,4.9027623407402,70.8286550586113,63.1342266513515
"CLUG_05178T0",552,428,106,130,1233,1078,181,267,498,705,110,122,932,1095,169,225,1012,917,130,145,971,867,249,302
"CLUG_05179T0",24,0,41,39,0,0,129,125,0,0,23,50,0,16,138,97,1,12,43,45,2,1,144,171
"CLUG_05180T0",679,1066,344,468,1048,1204,536,550,615,920,591,747,1169,1146,158,151,1128,994,649,819,1218,1271,754,824
"CLUG_05181T0",346,313,86,89,574,576,262,262,309,471,75,112,638,566,238,198,580,520,153,148,700,684,264,300
"CLUG_05182T0",59,18,30,28,25,23,16,40,14,19,4,17,25,38,49,74,20,61,32,39,41,30,75,123
"CLUG_05183T0",1111,1134,527,608,1833,1716,934,576,1266,1557,524,630,2650,1847,783,488,1995,1642,418,745,3325,2990,809,804
"CLUG_05184T0",768,403,350,445,1115,1367,618,497,627,992,437,585,1206,1242,360,369,1220,1133,358,673,1386,1355,2358,2384
"CLUG_05185T0",387,277,55,109,746,718,228,169,389,508,103,156,690,608,54,62,709,653,204,433,626,580,373,477
"CLUG_05186T0",716,904,110,116,1632,1629,198,197,771,1157,138,125,1455,1260,169,157,1136,1137,177,255,1002,1135,92,116
"CLUG_05187T0",2401,1368,296,414,5488,5713,740,826,3015,4084,645,1060,8976,5851,230,373,6308,4932,1375,1189,5300,5865,258,310
"CLUG_05188T0",285,183,103,143,618,612,187,204,236,391,131,138,2200,2576,244,245,1011,984,199,355,1354,1264,254,275
"CLUG_05189T0",874,528,98,155,2387,2106,232,650,944,1307,170,230,1809,1448,282,290,1758,1323,480,1025,1761,1712,547,600
"CLUG_05190T0",770,556,201,217,1425,1538,267,322,1023,1163,227,310,1381,1169,285,302,1433,1128,309,557,1601,1760,790,912
"CLUG_05191T0",517,563,12383,16294,1295,1082,30430,22770,696,982,18664,27910,1133,1287,23117,17720,1333,1436,22199,36352,1026,1102,37643,34499
"CLUG_05192T0",369,266,39,43,594,794,53,52,656,705,37,39,531,337,22,29,814,735,20,30,782,922,20,31
"CLUG_05193T0",170,135,57,45,410,335,91,139,194,291,77,87,341,327,236,231,290,275,31,34,324,283,118,124
"CLUG_05194T0",672,825,201,226,2084,1182,395,403,913,2317,405,742,1816,3732,516,373,1983,2251,367,1066,3272,3478,997,2551
"CLUG_05195T0",1561,1269,409,498,3152,3050,564,675,2580,4142,1025,1105,2787,2551,952,807,2646,2267,904,1239,5951,5156,1856,2041
"CLUG_05196T0",133,91,21,19,222,225,29,40,252,315,38,75,199,145,81,73,173,143,11,16,352,376,43,45
"CLUG_05197T0",620,418,104,97,1109,1249,121,197,1184,1578,179,239,779,711,184,247,793,721,100,160,1725,1662,228,182
"CLUG_05198T0",139,115,376,399,248,237,265,210,205,364,619,1077,798,1256,963,678,424,492,405,703,960,982,1419,1554
"CLUG_05199T0",482,273,118,120,605,519,192,157,691,885,143,157,166,248,237,252,453,553,160,145,467,447,132,125
"CLUG_05200T0",453,344,602,877,687,882,1161,1522,916,1532,1710,3802,994,1065,742,561,1055,918,641,1296,2378,2409,7462,8073
"CLUG_05201T0",279,141,42,48,257,342,82,52,426,397,89,75,227,185,186,155,216,199,25,17,553,465,50,41
"CLUG_05202T0",2506,2132,14273,17481,3763,4289,23428,19624,4537,5544,23978,31899,3447,2881,18995,17479,2987,2954,14303,18107,8303,7862,54858,55577
"CLUG_05203T0",1150,729,220,223,1359,1309,212,184,1268,1733,309,491,1437,1476,181,209,1055,1339,323,325,2227,2276,266,298
"CLUG_05204T0",625,443,465,501,1211,1187,1028,705,1045,1562,872,1023,3096,3313,935,717,1639,1470,423,843,3692,3901,1248,1495
"CLUG_05205T0",1272,1237,620,924,2431,2331,1042,1030,2245,3420,1743,2773,2895,2614,662,549,2283,2052,1310,1741,4744,4730,2368,2127
"CLUG_05206T0",1732,1198,939,1159,2486,2701,935,852,2820,3835,3209,4575,2718,2136,845,888,2008,1845,2258,2825,5670,5001,4411,4283
"CLUG_05207T0",2967,1564,615,636,4129,4705,1005,855,4153,5437,941,1206,2992,3428,1229,1265,3357,3030,580,639,6880,6544,854,1013
"CLUG_05208T0",1095,868,247,296,2772,3152,159,373,2652,3676,500,645,1829,1861,514,671,2192,1563,159,172,4455,4112,455,465
"CLUG_05209T0",35.7474201757391,32,2808.55387705291,3347.43679194403,28,36,6357.37189551382,5191.53271631546,66,64.8339185204637,9458.07359746179,13957.0072206264,10,40,9737.26778651267,9237.57977562568,36,37.0365182691435,1253.28481441851,1548.79570231344,31,39,8359.45508755494,11302.72894639
"CLUG_05210T0",2709,2008,141,269,7467,5110,226,282,4283,7431,345,351,3754,3337,90,153,3263,2641,101,231,6144,6411,158,210
"CLUG_05211T0",304,309,85,92,806,653,123,127,522,876,189,221,783,595,169,145,679,482,194,304,1256,1210,448,495
"CLUG_05212T0",116,2,44,36,4,4,16,36,5,12,40,80,12,119,73,132,12,126,73,2,15,9,49,107
"CLUG_05213T0",1277,2284,144,200,3036,1448,410,352,2546,5135,665,1289,2874,2439,247,122,2469,1933,538,1194,4919,3987,1722,3525
"CLUG_05214T0",233,208,46,44,555,455,66,57,394,693,79,128,335,270,49,42,347,320,37,56,771,697,115,111
"CLUG_05215T0",1302,739,92,124,1654,2183,166,101,2026,2322,210,218,1713,893,69,46,1450,1050,161,220,3489,3419,389,351
"CLUG_05216T0",195573,80453,13257,16823,214594,285471,21134,16672,326409.999044971,308252,39057,35529,221228,123408,2705,4332,152737,115227,21343,18559,321175,284288,16314,7152
"CLUG_05217T0",2212,1529,98,127,4407,4429,180,189,3834,5582,308,299,2905,2289,98,97,2946,2340,94,134,6841,5672,169,136
"CLUG_05218T0",17,0,6,3,3,0,6,15,0,0,13,24,2,12,4,29,0,9,1,1,0,2,7,8
"CLUG_05219T0",1252,1033,240,253,2620,2738,232,308,2644,4119,423,536,1637,1760,323,422,1672,1936,285,288,3219,3500,311,341
"CLUG_05220T0",2076,1799,259,333,4097,4213,785,565,4292,6244,760,916,3047,2301,520,446,3177,2517,684,961,6200,6086,1531,1520
"CLUG_05221T0",372,456,84,103,1325,1328,56,144,1148,1713,196,283,800,782,300,352,942,641,209,209,1741,1475,233,251
"CLUG_05222T0",139,145,45,34,398,415,35,67,346,590,66,81,286,293,90,114,346,261,88,87,594,495,93,88
"CLUG_05223T0",1223,906,196,246,2193,2170,453,559,2007,2931,470,729,1748,1847,529,547,1847,1624,944,935,3418,2937,907,704
"CLUG_05224T0",138.487599509487,97.0071283353858,242.522673369959,288.386300369397,259.81936409189,248.140828783004,242.500727196643,310.607912972213,272.046513287765,338.837431776308,414.540706972695,568.676026472703,228.621782615361,192.744245269004,483.227012499536,506.995158303157,216.143114781488,195.079335807796,133.384846831125,200.41488482902,436.010775509626,476.944662867952,705.4446724482,662.741115628871
"CLUG_05225T0",828.512400490513,661.992871664614,1459.47732663004,1606.6136996306,1503.18063590811,1627.859171217,2691.49927280336,1805.39208702779,1563.95348671223,2051.16256822369,2555.45929302731,3520.3239735273,1459.37821738464,1257.255754731,3475.77298750046,2800.00484169684,1318.85688521851,1128.9206641922,888.615153168874,1398.58511517098,2873.98922449037,2751.05533713205,3758.5553275518,4058.25888437113
"CLUG_05226T0",1781,1351,226,283,2456,2775,329,238,2639,3239,718,657,1781,1479,114,139,1582,1413,942,861,3528,3005,966,896
"CLUG_05227T0",855,661,3509,4388,2715,1818,6796,4980,1933,3355,9583,17133,3975,5152,6020,3297,2401,2176,5075,9932,4619,4353,19607,26444
"CLUG_05228T0",2268,1974,611,829,3607,4028,991,869,5068,6688,1934,2271,6984,7238,451,418,4508,3830,2048,2531,11762,9391,2352,2944
