,DHED1.r1,DHED10.r1,DHED11.r1,DHED12.r1,DHED13.r1,DHED14.r1,DHED15.r1,DHED16.r1,DHED17.r1,DHED18.r1,DHED19.r1,DHED2.r1,DHED20.r1,DHED21.r1,DHED22.r1,DHED23.r1,DHED24.r1,DHED3.r1,DHED4.r1,DHED5.r1,DHED6.r1,DHED7.r1,DHED8.r1,DHED9.r1
CLUG_03368,965,3186,2196,3807,569,2346,439,3490,1148,4919,879,3050,5692,1603,3794,2241,5116,915,5861,1084,5437,1461,7375,1648
CLUG_03369,439,675,1081,891,480,1049,681,1235,1219,6260,1101,1103,4729,1079,2429,876,2841,987,2278,1960,2855,1116,3049,1287
CLUG_02365,279,647,451,864,265,228,165,268,536,382,443,211,515,581,406,650,430,444,217,570,239,466,300,432
CLUG_05404,7150,371,4230,639,5660,220,8699,216,4877,309,4271,244,453,5972,239,6020,198,10611,306,10398,336,7120,366,5643
CLUG_02367,14778,186421,14326,230687,20508,178232,17559,215735,39153,127791,32840,191108,130850,24474,271874,27794,268504,16251,217421,19657,220842,21373,191498,19024
CLUG_05406,1225,449,1961,456,1899,371,1212,442,1929,1135,1985,324,818,1783,700,1831,798,1679,366,2567,871,2300,585,1507
CLUG_02361,2562,1223,2689,1503,2972,447,2460,639,3659,659,3016,624,571,4116,1040,4004,1069,3364,758,3302,940,3087,930,3112
CLUG_05400,950,578,1101,831,765,485,535,629,1278,968,1034,511,1080,1306,908,1252,905,790,787,1064,1558,1240,1741,982
CLUG_02363,1260,596,1410,665,1132,174,985,287,1880,325,1499,210,308,1438,320,1511,299,1480,216,2067,205,1962,281,1733
CLUG_02362,21025,7018,16506,7271,29207,3323,23788,4010,11148,957,9417,2256,943,22328,2413,22081,1776,22670,1736,7411,465,6843,538,15104
CLUG_05409,2280,763,3032,1029,2608,229,1763,366,4224,467,3471,362,508,3778,741,3390,670,2871,383,4112,456,3864,443,3507
CLUG_05408,2507,536,3051,427,2330,846,2034,817,3167,4519,3029,636,4995,3829,2943,3683,3363,3525,1262,4995,1213,4692,2267,3518
CLUG_04208,669,566,731,497,839,342,502,471,937,491,832,394,414,870,468,814,628,776,622,1225,610,1270,541,779
CLUG_04209,311,124,207,255,170,33,13,2,221,245,260,0,156,89,2,194,19,385,18,437,20,301,58,473
CLUG_04758,1712,74,2093,166,1668,173,1200,130,2888,286,2254,208,375,2879,154,2548,141,2332,183,3229,209,2812,202,2569
CLUG_04759,1212,532,1450,711,1257,618,1191,587,1586,1280,1326,557,1170,1728,841,1870,1181,1338,760,1261,1038,1538,944,1637
CLUG_04752,16689,12647,15540,11286,14504,6810,10264,7988,18112,7082,14240,9934,6427,17497,3932,17835,4300,18710,11870,24500,9141,27539,9009,18221
CLUG_04753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_04750,398,341,977,361,534,593,322,623,1291,1832,1459,577,1830,1181,580,1140,445,694,467,1168,671,1004,602,1121
CLUG_04751,4740,613,5674,548,3678,1529,3452,1183,4254,3212,4984,1481,4006,5337,1348,5392,1077,5955,1628,6148,966,6324,1556,5727
CLUG_04756,216,50,335,95,196,44,203,85,634,118,408,101,138,450,49,464,38,207,166,306,72,329,106,340
CLUG_04757,2421,168,2924,282,2102,267,1570,312,4315,457,2900,350,605,3724,240,3663,225,2864,296,3812,187,3764,318,3424
CLUG_04754,585,770,1111,719,750,556,618,692,1196,775,1196,973,659,1344,1458,1283,2179,847,1375,1084,1350,1190,1049,1035
CLUG_04755,717,258,1323,233,1102,351,713,393,1425,739,2022,315,925,1389,271,1672,189,863,351,891,318,1078,295,1041
CLUG_01154,32,810,18,1288,32,601,32,590,4,839,8,544,1153,8,746,7,1048,65,834,115,586,94,1523,5
CLUG_03968,301,173,360,156,469,245,388,246,196,555,240,206,653,262,421,227,397,280,246,311,109,310,248,222
CLUG_03969,1153,164,1220,235,985,217,712,215,1714,290,1516,167,367,1546,434,1620,355,1079,175,1329,163,1531,250,1410
CLUG_03964,1805,444,3889,602,1997,261,1176,345,4741,540,8370,344,650,4089,473,4137,432,2694,441,3496,246,3302,375,3314
CLUG_03965,46557,42045,68466,56165,43473,18173,24832,23364,56884,6703,72815,27474,5162,55912,40571,69913,29533,76366,30598,77867,14477,66211,12515,59575
CLUG_03966,792,242,1029,256,693,427,500,374,874,557,845,420,745,1080,539,1011,505,1288,395,1536,384,1443,475,1010
CLUG_03967,4820,276,5842,330,5318,346,2859,373,5614,699,6055,368,814,6478,388,6488,376,7152,353,8072,418,7214,553,6664
CLUG_03960,157,47,242,45,161,33,99,0,345,0,261,0,49,257,103,322,68,201,36,343,0,280,40,355
CLUG_03961,1392,367,2879,438,1453,205,961,219,3485,265,3550,212,335,2889,537,2975,387,2587,315,3518,143,2921,238,3196
CLUG_03962,8,5,5,5,5,3,4,4,5,6,5,4,5,4,6,6,5,7,4,5,3,6,7,5
CLUG_03963,33,12,23,3,32,4,8,10,16,17,13,16,6,12,22,51,26,11,7,63,8,61,8,43
CLUG_01158,1818,215,2070,246,2240,401,3953,498,1870,1051,1659,432,880,1339,744,1265,785,3284,897,4713,906,3031,899,1991
CLUG_00439,24,55,16,57,31,24,12,22,14,103,6,17,112,34,117,43,111,16,49,24,26,24,41,14
CLUG_00438,11740,1505,7929,1799,9157,915,5757,1307,11143,914,6390,1535,945,10979,593,9677,495,11828,1656,15349,1762,17826,1860,10435
CLUG_00433,2497,2321,4070,2560,2768,2068,2120,2538,3411,2889,4230,1901,3431,3583,2912,3881,3593,3642,3301,3999,2660,4226,3169,3558
CLUG_00432,324,74,390,104,379,112,211,151,415,187,407,124,193,369,93,426,101,283,195,435,154,455,213,320
CLUG_00431,25397,9420,10218,13037,14310,15362,8873,23416,16424,23730,12188,25763,32307,7402,18879,8979,25032,22353,44387,18470,20397,21065,33425,10479
CLUG_00430,4275,5054,4620,4375,5235,2018,3309,2938,4926,5154,4707,3025,5658,5316,2807,4820,3650,4736,5706,6090,3035,6577,3983,4642
CLUG_00437,2637,1261,2840,1332,2638,698,2101,852,2768,2096,2996,639,2893,3551,972,3244,887,2813,1356,3749,917,4032,2146,2824
CLUG_00436,5947,4870,5245,6216,5724,4983,4784,6201,5558,8482,4186,4225,8537,6731,5938,7504,7033,6379,6492,5721,4302,7299,6355,5913
CLUG_00435,854,232,1343,237,1044,149,613,217,1181,399,1244,200,373,1248,500,1161,546,1125,257,1625,252,1646,340,1192
CLUG_00434,671,282,1525,264,689,167,505,253,1609,570,1342,216,965,1315,571,1259,449,1127,364,1544,164,1296,477,1259
CLUG_00125,705,652,1488,1177,659,338,505,321,3419,1138,3798,439,866,2224,1156,2337,1158,932,466,1156,630,1293,601,1876
CLUG_00124,10085,5492,10941,6522,9602,2309,10628,2920,13593,2725,11471,2984,3503,13659,3319,13702,3442,11774,3793,15599,2858,18146,3649,13127
CLUG_00127,923,393,1254,314,910,282,688,314,1542,806,1260,300,915,1341,952,1140,911,963,434,1439,421,1434,540,1270
CLUG_00126,954,451,2046,838,1100,393,1095,408,4265,1586,4891,440,1239,2426,994,2218,852,1499,475,1814,643,1634,761,2477
CLUG_00121,3781,30193,5465,33028,2955,7176,1979,11088,4924,7871,4481,6443,9097,5778,19593,5916,20302,3742,9254,4648,15475,5564,17964,4733
CLUG_00120,3074,1044,4053,1263,2433,1370,1607,2011,4350,2627,3988,1677,3281,4450,2237,4464,2145,3667,2431,5263,1633,5546,3487,4514
CLUG_00123,62464,7856,86568,13805,88209,8292,70096,13578,126200,7193,100004,10349,6983,106425,5419,91284,4967,99608,11796,142889,15877,150302,18063,124922
CLUG_00122,3116,826,3268,918,3134,456,2427,530,4836,1136,3957,636,1036,4399,307,4182,282,3746,694,5423,1458,5104,1288,4541
CLUG_00129,1002,1719,5612,4355,1080,436,1998,606,5051,942,8887,840,752,4721,2414,4906,4983,3060,1451,4738,840,2369,937,5154
CLUG_00128,239,96,463,103,319,153,252,203,611,849,550,190,697,564,503,515,541,390,231,562,293,552,355,491
CLUG_05734,265,26,202,33,137,21,52,26,166,24,98,28,28,194,16,253,15,110,13,111,25,267,16,146
CLUG_05733,961,139,834,133,587,82,184,104,595,135,623,91,221,867,116,1092,165,382,122,330,67,963,213,583
CLUG_05732,0,0,0,0,2,0,0,2,0,4,0,0,2,0,4,0,2,0,0,0,0,0,2,2
CLUG_03779,669,1875,811,3253,758,686,556,839,1152,2203,873,678,1935,1169,1615,1051,2037,841,1157,1081,2193,1357,2828,944
CLUG_03778,9349,230776,13591,257956,9313,126420,5505,140785,22288,102614,14260,147455,100914,22686,241673,22346,246666,9176,155072,12409,201469,16314,131943,15256
CLUG_03771,2163,2814,2776,2786,2829,787,2043,836,2779,721,2865,1458,874,2930,2653,2527,2117,2548,2010,3585,982,3375,867,2638
CLUG_03770,2763,2142,4631,2013,3714,941,2468,1268,4823,2674,5211,1067,2462,4114,1730,3736,2014,3676,1321,5409,2106,4890,1580,4079
CLUG_03773,869,753,2287,1090,961,835,958,1003,4124,4194,4300,760,4012,2412,2209,2247,2135,1322,1211,1785,1528,1491,2149,2517
CLUG_03772,1946,637,3057,600,1649,1677,735,1878,4223,6731,3950,1537,7147,3339,2880,3450,2410,2864,1797,4558,2864,4664,3175,3812
CLUG_03775,2574,2059,3529,2811,2650,1532,1970,1719,4314,7909,3795,1569,8582,4513,7674,3437,8122,3392,2498,5326,2767,5046,4376,4296
CLUG_03774,2079,2032,2801,2546,2175,1138,1651,1574,3872,3351,3338,1718,2852,3762,3305,3499,3732,2701,2831,3907,2300,3786,2886,3190
CLUG_05650,0,0,35,0,27,10,0,21,0,0,0,21,61,0,12,0,0,0,0,17,0,35,0,0
CLUG_03776,1665,2333,2475,2895,2109,1006,1637,1097,3035,3179,2958,1024,4216,2938,4994,2483,5513,2583,1694,3420,1600,2866,2589,2919
CLUG_02170,2119,369,1924,406,1564,288,1020,293,1725,338,1631,316,476,2251,247,2030,276,2633,380,2793,228,3008,434,2228
CLUG_02171,3,5,8,6,6,3,3,4,3,7,6,5,5,4,4,5,6,3,3,4,9,4,6,3
CLUG_02172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_02173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_02174,9742,16799,12765,17820,6448,4726,5601,5705,18941,3499,13887,12028,3741,14153,8094,15857,8324,14248,17627,16731,6233,15680,8200,16204
CLUG_02175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_02176,57,151,73,103,46,71,26,92,30,209,29,66,238,258,84,240,59,124,87,135,66,111,138,80
CLUG_02177,1135,88,1758,97,1311,148,939,170,1219,130,1184,124,208,1661,57,1476,64,1475,114,2127,126,2163,109,1585
CLUG_02178,17956,16430,16766,22174,16648,2912,13249,4586,20339,3462,15678,4588,3775,21557,12960,19695,12168,24080,6111,29774,5004,35975,6553,25257
CLUG_02179,386,298,153,313,1946,230,281,295,181,632,125,206,714,673,262,527,250,312,332,4424,491,11837,506,220
CLUG_05651,36,12,85,10,45,57,32,71,20,149,54,55,194,26,21,16,30,47,43,68,39,86,53,51
CLUG_05605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_05604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_02655,183,176,511,531,168,38,160,89,1282,172,1450,78,127,1027,346,973,364,344,136,500,185,414,155,791
CLUG_02654,1041,211,1575,305,892,97,591,137,2769,164,2323,219,206,2115,115,2091,140,1410,218,1952,329,1619,398,2184
CLUG_02657,348,37,303,20,381,53,364,70,304,115,281,79,174,340,55,340,26,605,61,613,77,537,95,252
CLUG_02656,1654,704,2367,1001,1616,426,1459,554,2996,1109,2860,531,975,2727,1006,2305,1104,2222,835,3157,1219,3153,1587,2658
CLUG_03252,11454,6134,15098,6007,11601,3319,7411,2803,18298,11528,19472,3444,11106,17116,5003,16141,4670,15541,3616,21161,7434,20569,6118,18182
CLUG_03253,822,1220,1155,1755,985,1015,701,1102,1786,1431,1376,1022,1980,1504,2055,1376,2024,1032,1428,1386,1093,1332,1280,1248
CLUG_03250,3891,575,3290,1019,3475,2844,2595,3306,2235,728,1694,3484,777,2232,370,2353,395,4232,3598,7538,3991,9711,4709,3039
CLUG_03251,11,188,238,291,22,235,112,187,38,877,279,235,1112,16,295,44,292,87,263,160,232,24,354,125
CLUG_03256,2431,3654,1943,5100,2606,1612,1723,2254,2402,5171,1583,1888,5376,2035,6304,2006,7212,2483,2802,3386,5305,4002,7910,2231
CLUG_03257,3614,2911,5087,4275,3358,1454,2957,1853,6526,8593,6242,1486,6327,6490,5852,5788,6559,4986,2452,6902,6196,7151,6616,5780
CLUG_03254,626,1860,997,2077,616,3639,519,4198,1468,6577,1426,3947,5951,1239,3266,1284,3429,942,4659,1259,8309,1095,6400,1068
CLUG_03255,3772,6426,2711,9853,3714,8683,2358,10666,5916,9496,4384,10756,9467,4918,9165,5268,9651,3228,11476,3517,13503,4127,12924,3514
CLUG_04437,941,126,1352,125,912,77,592,120,1893,187,1453,173,251,1645,137,1443,112,1442,155,2278,97,1910,325,1841
CLUG_04436,8199,4510,13054,2463,11696,1008,5511,1384,13397,395,13713,1355,666,10283,952,10349,1035,9867,1158,13719,1168,13985,1026,10495
CLUG_04435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_04434,26471,9350,16390,7812,22794,2753,18275,3330,16140,1441,13843,3111,2515,16176,4904,20841,4986,23990,2421,14093,2647,20279,3198,15930
CLUG_04433,17780,12251,12483,14543,10589,3366,6789,4880,19160,1828,13479,3631,2041,22177,11011,20493,11622,12706,4443,13664,8619,19208,6975,15876
CLUG_04432,14044,6521,10371,7052,10596,4296,8968,5653,11042,12247,10887,4355,14651,15936,14909,16864,15864,15812,7718,19529,8534,20885,10155,12913
CLUG_04927,0,0,0,0,0,0,0,0,0,1201,0,202,0,0,208,0,1268,0,0,0,430,0,0,0
CLUG_04430,1053,348,1203,366,1447,326,1215,384,1238,607,911,242,632,1881,323,1586,285,1331,374,2395,470,2697,587,1218
CLUG_04929,8458,1520,11392,1066,10010,673,10444,733,11200,1339,11739,867,1342,10516,740,10777,939,13346,940,17009,1992,10651,1812,10703
CLUG_04928,1043,1221,1376,1511,1154,927,647,1040,1220,1668,1852,1098,2342,1311,2916,1713,3678,1339,1805,1476,1596,1657,2735,1434
CLUG_04439,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_04438,154,30,308,19,463,33,202,40,184,0,182,32,74,295,0,268,0,194,50,211,0,211,15,203
CLUG_02072,2300,254,2583,424,2592,160,1886,271,2380,306,2394,272,364,2752,159,2352,233,2623,383,3693,213,3911,270,2536
CLUG_05346,1078,389,1324,492,968,333,727,391,1149,1329,1160,244,1415,1190,410,1240,621,1421,408,1801,376,1913,628,1408
CLUG_05347,2242,76381,4314,76839,3230,69957,2389,86921,3750,63512,4143,68933,67885,4191,93241,4073,96683,3031,83575,4517,77482,4290,63856,3839
CLUG_05344,4879,5366,5839,6850,5559,2469,4200,3163,7161,3476,6310,3187,3696,6372,5195,6221,6155,6055,4273,7744,4839,7634,7662,6336
CLUG_05345,8391,128016,8429,139893,13100,97850,10293,118594,17667,155947,19141,68502,127043,14556,126274,16583,143690,9434,113078,9173,165886,9622,163904,10465
CLUG_05342,403,910,457,1267,328,765,234,733,730,1620,470,681,1778,663,1560,569,1841,515,1169,969,1210,837,2612,730
CLUG_05343,672,2271,1086,2838,900,993,446,1328,815,1201,1077,686,1786,885,1852,933,2332,911,1168,1292,2465,1293,3574,751
CLUG_05340,5486,4903,9582,4564,6114,3307,4600,3727,6517,3667,8837,3421,5055,8675,3555,9178,4045,7832,3939,8603,2818,8164,3722,7241
CLUG_05341,1714,2267,2632,2397,1988,1015,938,1214,2908,2099,3242,1101,2142,2228,2437,2415,2418,2164,1399,3429,2164,3317,2960,2925
CLUG_05348,431,231,683,251,784,243,868,256,371,441,556,200,571,595,152,594,121,853,300,1316,214,673,241,479
CLUG_05349,1234,1395,2372,1738,1577,821,888,1159,1880,623,2380,1115,672,2490,4533,2747,4464,1631,1609,1878,1506,2382,1381,2108
CLUG_04699,220,280,185,308,192,75,182,90,281,387,174,112,357,274,245,288,171,254,159,354,142,338,210,288
CLUG_04698,6592,3704,6629,4038,7252,763,9347,1040,9180,1679,6088,1070,1941,9492,2292,8208,1905,6568,1452,8860,991,10030,1523,9081
CLUG_04693,10746,6855,10694,5837,9334,2276,7819,2464,15943,1201,15364,4650,1580,13783,5078,11900,5225,12557,3606,12992,1940,14253,1699,12433
CLUG_04692,553,555,900,861,542,366,368,525,1695,382,1163,694,385,1606,3086,1436,3439,926,1036,863,742,1093,694,1385
CLUG_04691,22491,28309,35295,41000,23186,10526,15038,13156,58179,9898,52171,19856,6443,64229,59691,59336,79002,25727,29971,28409,21821,31037,17270,42262
CLUG_04690,2953,314,3332,403,2759,187,2036,322,4711,666,3363,415,635,4597,356,4119,241,3352,264,4322,350,4218,421,4169
CLUG_04697,2586,2976,3024,3575,3857,2300,4574,2859,3105,694,2736,1955,720,4408,2901,4368,2456,2989,2343,1852,363,1885,484,2787
CLUG_04696,2062,145,2356,147,1775,249,1185,293,2071,1033,2461,267,955,2084,415,2197,377,3083,346,4032,698,3348,595,2315
CLUG_04695,782,30,1311,104,850,80,459,89,1287,217,1622,72,322,1270,86,1136,62,1194,85,1875,60,1833,117,1484
CLUG_04694,72,10,62,4,114,32,88,22,69,152,252,21,187,21,45,16,56,389,38,1316,23,211,58,35
CLUG_00931,563,1130,1273,1021,745,720,387,808,1387,922,1393,1103,1020,1224,1140,1239,1471,962,2005,1430,1056,1434,965,1198
CLUG_00330,2121,535,3633,644,2306,438,1635,603,4365,1222,4543,658,1652,4287,678,4013,591,3344,774,5116,573,4848,794,4370
CLUG_00331,1418,563,2299,1018,1402,1079,896,1356,2484,1926,2844,1228,2483,2995,2811,3083,2707,2389,1650,2812,1297,3153,1669,2682
CLUG_00332,1206,389,856,592,861,389,662,603,1144,374,939,757,514,1124,615,1191,680,1274,630,1347,507,1717,539,1230
CLUG_00333,511,146,739,231,569,246,249,296,853,416,786,389,597,756,395,669,477,727,373,1169,289,1032,338,804
CLUG_00334,171,406,415,379,248,983,121,1165,389,2317,462,730,2894,229,1441,233,1925,245,1021,363,959,406,1580,227
CLUG_00335,771,936,1188,1734,545,2141,403,2378,1705,6236,1966,2434,6443,1738,5636,1525,6645,1245,3252,1860,2917,1762,5063,1491
CLUG_00336,224,291,463,518,282,465,137,665,537,1447,568,507,1339,490,1402,439,1567,357,817,597,1589,567,1566,565
CLUG_00337,1351,966,1676,1397,1276,426,904,556,2500,911,1935,838,1035,2537,2059,2220,2100,1791,980,2595,974,2544,870,2507
CLUG_00338,2019,1058,2645,1998,2049,1179,2164,1397,3142,4253,2960,1093,4471,2926,2834,2546,4265,2542,1840,3807,2442,3448,3297,2829
CLUG_00339,1057,630,1422,1228,1024,755,974,857,1916,2451,1862,908,3122,1941,2235,1643,3203,1583,1250,2202,692,1985,2026,1727
CLUG_01084,25356,11818,16751,10809,29678,2706,22509,3986,24700,2216,13152,4878,3121,21596,4148,17128,2979,28841,4467,38193,3650,42250,4145,25441
CLUG_00842,962,41,1171,36,914,115,710,155,1005,83,1195,128,176,891,50,1179,66,1168,158,1239,59,1432,134,1123
CLUG_00843,1453,42,1233,48,1093,117,950,148,1479,132,1306,134,125,1545,68,1790,77,1634,164,1890,85,2092,178,1639
CLUG_00840,5406,600,6280,815,4988,340,4552,477,6686,400,5815,473,561,5216,349,4709,344,8745,381,12384,543,11620,814,7570
CLUG_00841,4006,1106,5651,955,4268,666,3643,867,4697,903,5134,828,1174,5361,725,5577,937,4936,1074,5940,704,6533,1263,4887
CLUG_00846,314,31,529,31,323,60,203,94,389,121,412,67,146,450,57,404,100,384,42,587,53,507,93,431
CLUG_00847,5667,4658,5682,5628,6023,2435,5532,3525,8813,3428,6448,3346,2554,8883,3847,8667,3591,6198,4286,7283,4114,8829,3411,6554
CLUG_00844,1160,39,1053,59,818,119,918,108,1215,93,1028,76,143,1256,61,1594,51,1677,98,1724,109,1764,132,1457
CLUG_00845,325,46,464,27,428,118,484,107,876,270,498,82,355,265,160,226,130,361,200,529,92,816,167,459
CLUG_00594,707,263,987,297,885,349,533,315,804,853,746,328,1314,913,936,823,946,1005,335,1578,426,1534,448,922
CLUG_00595,781,295,892,278,689,580,621,560,1066,1466,1012,563,2645,1161,1659,1132,1655,1235,641,1711,230,1705,700,1113
CLUG_00596,713,198,801,327,720,260,556,239,869,646,691,219,988,945,745,771,788,955,285,1242,213,1248,302,939
CLUG_00597,2890,1395,3365,1626,3118,1438,2219,1228,3179,3502,2850,1291,5646,3682,3752,3340,4515,3620,1256,4651,780,4922,1841,3577
CLUG_00590,922,320,1270,477,1234,330,798,394,434,500,434,454,636,523,379,685,394,1801,388,3163,465,2301,462,718
CLUG_00591,893,547,1295,722,1011,738,751,602,1385,2457,1341,660,2913,1467,1811,1307,1596,1432,871,2147,1041,2104,1176,1460
CLUG_00592,996,820,1630,1047,1223,500,881,722,1858,521,1975,658,811,1765,2085,2003,2129,1410,1062,2045,869,2375,1132,1507
CLUG_00593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_02992,177,49,164,75,142,80,117,50,261,105,208,77,186,318,40,340,20,262,136,336,81,345,116,282
CLUG_02993,4422,2066,6700,2685,4851,6266,3229,7126,6960,14136,8049,4527,14315,7926,3782,8201,4805,6384,6914,7584,12466,9330,11013,7102
CLUG_02990,2822,3361,3824,2995,2756,1568,1607,2084,3367,1567,3595,2598,1713,2770,1206,2868,1411,2980,3298,3318,1948,3423,2143,3079
CLUG_02991,3597,612,4023,889,3258,381,1518,652,4830,1006,4288,578,1133,5026,317,4723,347,5397,1073,8615,858,7846,1034,5663
CLUG_02996,1381,782,1584,1063,1082,632,1028,467,1922,1548,1880,545,1571,1561,1682,1739,1622,2393,687,2902,742,2793,1157,1892
CLUG_02997,2114,841,2945,1336,2122,463,1672,649,4718,880,3971,589,799,4429,1039,4494,1217,2707,803,3567,1301,4100,1114,3534
CLUG_02994,862,689,1239,760,1088,1464,803,1702,1626,2235,1294,1187,1920,2138,673,1829,688,1162,1320,1966,2651,1831,1570,1294
CLUG_02995,4895,5681,7633,5800,5880,5886,4269,7193,7547,7088,7426,5401,7865,9449,4261,9217,5702,6275,6762,9010,9155,9195,7223,6660
CLUG_02998,9165,11584,10925,13021,10288,4424,6843,5238,11276,3826,10078,6924,4451,9865,10140,10183,11965,12449,9431,16962,5795,16692,5766,10765
CLUG_02999,6717,4207,8387,3727,7176,1014,4915,1293,9292,845,8784,2019,1102,8299,1583,8282,1549,8475,1890,11492,1316,11178,1108,8855
CLUG_01423,1064,6803,1102,8222,877,2046,665,2878,1202,1764,803,3123,2167,928,8822,1147,8768,1135,3197,1412,3701,2470,4008,1132
CLUG_01422,1056,1813,478,3004,388,973,808,1050,3948,1601,1593,1106,1234,2683,2360,3188,2523,1360,1362,1672,1441,1849,1661,2386
CLUG_01421,0,1265,1121,1703,541,902,403,941,1296,1328,1718,730,1293,1190,2092,0,1833,756,1025,850,1162,927,1500,1000
CLUG_01420,1756,2301,1647,2428,1377,1284,987,1709,1380,2080,1502,1296,1933,1480,2846,2487,3540,1258,1792,1778,2670,2007,2681,1621
CLUG_01427,2959,761,2783,676,2197,584,1675,595,2985,973,3036,624,1567,2946,918,2958,1028,3413,736,4414,424,4878,1051,2920
CLUG_01426,326,311,414,590,202,111,262,157,1184,351,886,234,312,685,442,686,438,465,266,474,328,499,320,703
CLUG_01425,3617,1583,3891,2177,3078,602,2410,850,4867,1080,3584,867,1236,4395,1640,4639,1684,4786,1138,5488,1346,5583,1738,5134
CLUG_01424,1447,670,1532,699,939,304,861,338,1736,619,1452,412,793,1490,736,1577,1063,1587,560,1842,261,2015,876,1682
CLUG_01429,28486,3571,28212,3447,34430,2029,13779,3536,30214,936,31313,2085,1777,21553,811,20664,706,30368,1488,37070,1897,49575,2014,23675
CLUG_01428,21857,2487,18314,2426,21418,1247,10310,1960,22171,725,18554,1576,1104,16619,668,15620,607,23490,1266,28068,939,37753,1525,17278
CLUG_03164,760,879,1403,1117,950,249,573,366,2247,227,1772,403,222,1856,1038,1761,1014,1214,613,1936,629,1875,601,1858
CLUG_03165,479,23,609,36,433,46,268,75,1110,61,763,67,116,810,42,803,16,678,54,1004,98,874,88,807
CLUG_03166,1764,102,2216,126,1404,237,855,233,2177,228,1860,294,360,2318,143,2451,71,2308,364,3236,281,3588,432,2642
CLUG_03167,294,104,405,130,221,89,149,130,404,363,413,216,339,376,239,487,258,384,250,552,351,615,486,470
CLUG_03160,2452,2534,2765,3434,2214,1564,2996,1703,3123,3021,2826,1864,2943,3154,2653,2800,2726,3308,3025,4156,1743,3776,2350,3188
CLUG_03161,3278,2550,2478,3974,1856,1398,1413,1829,3812,1186,2617,3270,1202,3227,1769,2877,2017,3196,4457,3579,2227,3467,2585,3225
CLUG_03162,25243,30884,22546,23444,35727,17376,32796,17842,24136,8738,21848,23806,12136,22587,23282,18418,19645,29430,23098,33976,11509,28314,8704,22659
CLUG_03163,2602,407,2702,582,2922,396,2995,473,2947,839,2364,481,759,2840,528,2501,509,3462,461,4543,497,4360,679,2950
CLUG_03168,17225,10332,21543,10038,12580,2382,9075,3249,28843,3269,37934,4283,4211,29111,7651,27502,9190,20448,6295,20530,3554,25646,5553,22890
CLUG_03169,10427,19619,23254,25843,12670,9690,7300,12609,33171,5951,37840,16067,5730,25744,28664,27194,35254,13425,26783,15748,16405,15267,16271,23197
CLUG_02695,34,216,4,224,6,273,4,282,4,844,10,261,1013,18,720,24,665,12,450,51,491,112,577,32
CLUG_02694,2021,333,2720,599,1932,502,1258,603,4607,1411,3419,546,2031,3190,1261,3408,1125,2991,734,4878,951,4357,1134,3920
CLUG_02697,12127,1928,10897,2687,9254,1183,9503,1479,10705,655,11674,1654,778,10665,545,12224,737,13328,1914,15094,2167,19461,2137,11922
CLUG_02696,5467,6470,5906,7135,6881,2316,4779,2728,7731,1248,6626,3543,1330,6661,5785,5914,5302,6936,4393,10278,2360,9468,2122,6938
CLUG_02691,1243,625,1728,716,1329,453,923,572,1801,585,2014,411,778,1903,409,1912,429,1686,723,2344,795,2446,734,1912
CLUG_02690,4464,2358,5952,2921,3562,1496,2887,1845,4511,959,4587,1934,1337,6546,913,6553,1069,6443,2050,7489,1405,6516,1756,5826
CLUG_02693,36404,310,27076,502,46420,547,20915,658,46457,1156,42740,599,1444,39815,656,42164,668,32898,565,37155,510,56105,716,34866
CLUG_02692,6406,1005,7245,897,6195,1100,4487,1250,8223,2838,7888,1115,3085,10144,985,10489,827,6825,1088,9218,871,12184,1433,8740
CLUG_02699,5186,1794,6164,2586,6837,4934,6606,5569,2693,688,2241,5187,600,2275,2184,2407,2304,6110,5710,18498,9755,18188,7888,3886
CLUG_02698,459,586,1019,901,551,153,425,245,2370,268,2355,228,241,1535,893,1587,960,602,290,839,551,1071,354,1238
CLUG_03348,251,176,954,111,557,296,276,273,459,403,827,216,514,710,51,689,76,306,239,515,293,463,366,375
CLUG_03349,80,780,161,727,158,1180,75,1192,211,2100,284,1194,1874,205,1890,173,1947,84,1522,264,2797,226,1954,148
CLUG_02561,1167,195,810,333,505,39,540,64,882,60,675,76,41,1054,97,853,95,1281,104,1793,47,1841,95,1189
CLUG_03340,1982,106,2477,127,1528,393,702,252,1241,636,1220,377,912,1111,225,1125,191,2490,383,2738,378,2774,664,2303
